,,"Продажа автомобилей ""Г.Н. Кар""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Г.Н. Кар""
				Кибуц Хосен (рядом с Маалот)				(главн. дорога)				Тел. 054-4394252, 050-3244689",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
,,"Покупка автомобилей - Сохнут Ото Мор","Автомобили, Мотоциклы (51) ","
				Покупка автомобилей - Сохнут Ото Мор
				Весь Израиль								Тел. 050-5206841, 054-5578188, 04-8644202				Факс. 04-8644202",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
,,"Автомобили ""Кар Дил""","Автомобили, Мотоциклы (51) ","
				Автомобили ""Кар Дил""
				Маджд аль-Крум				(рядом с Кармиэлем)				Тел. 052-4580888, 052-6400001",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:shayt@pery.co.il,shayt@pery.co.il,"Продажа и аренда автомобилей ""Pery""","Автомобили, Мотоциклы (51) ","
				Продажа и аренда автомобилей ""Pery""
				ул. Леон Штайн 4, Хайфа				(Чекпост)				Тел. 050-4405555, 04-8416666shayt@pery.co.ilhttp://pery.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:info@straus.co.il,info@straus.co.il,"""Subaru"" в Хайфе - ""Штраус убно"" ","Автомобили, Мотоциклы (51) ","
				""Subaru"" в Хайфе - ""Штраус убно"" 
				ул. Дерех Яффа 121, Хайфа								Тел. 04-8528241, 050-2030778info@straus.co.ilhttp://straus.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:auto_media@netvision.net.il,auto_media@netvision.net.il,"Автомобильная электроника и звук ""Авто Медиа""","Автомобили, Мотоциклы (51) ","
				Автомобильная электроника и звук ""Авто Медиа""
				ул. Хаитстадион 18, Кирьят Хаим								Тел. 04-8492206auto_media@netvision.net.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
,,"Продажа автомобилей ""Трэйд Инн Йосеф""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Трэйд Инн Йосеф""
				ул. ХаНасси Герцог, Маалот				(западный въезд)				Тел. 052-7324939",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:tesco.zvi@gmail.com,tesco.zvi@gmail.com,"Электровелосипеды ""Tesco""","Автомобили, Мотоциклы (51) ","
				Электровелосипеды ""Tesco""
				ул. Джеймс Ватт 5, Хайфа								Тел. 04-8722722				Факс. 04-8726289tesco.zvi@gmail.comhttp://tesco.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
,,"Продажа автомобилей ""Трэйд Инн Кар Азам""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Трэйд Инн Кар Азам""
				ул. Дерех Яффа 108, Хайфа								Тел. 04-9912412				Факс. 04-9912256",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Трэйд-Кар""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Трэйд-Кар""
				ул. ХаГистадрут 16, Хайфа				(Чек-Пост)				Тел. 04-8626605, 050-6570551, 052-6661132",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
mailto:kalnoit1@gmail.com,kalnoit1@gmail.com,"Скутеры и электровелосипеды ""Калноит""","Автомобили, Мотоциклы (51) ","
				Скутеры и электровелосипеды ""Калноит""
				Шломи				(промзона)				Тел. 04-9875767, 052-8977987				Факс. 04-9875844kalnoit1@gmail.comhttp://www.ilkalnoit.com",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Салон - Сервисный Центр ""Volkswagen""","Автомобили, Мотоциклы (51) ","
				Салон - Сервисный Центр ""Volkswagen""
				ул. Йосеф Леви 32, Кирьят Бялик				(промзона)				Тел. 04-8746226, 054-6577802				Факс. 04-8747407http://vw.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Шломо Сикст""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Шломо Сикст""
				ул. ХаХарошет 59, Кармиэль								Тел. 04-9082055, 052-7273130, 050-8500081				Факс. 04-9884023http://www.shlomo.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Шиномонтаж и продажа автомобилей","Автомобили, Мотоциклы (51) ","
				Шиномонтаж и продажа автомобилей
				Маджд Аль Крум				(на въезде)				Тел. 050-7204440, 050-5576387",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Nikolas Car""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Nikolas Car""
				Кфар-Ясиф				(рядом с АЗС ""Делек"")				Тел. 04-9563891, 052-8641609, 050-7285807				Факс. 04-9563891http://www.nicolascar.com/",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
mailto:Elit777@walla.co.il,Elit777@walla.co.il,"Продажа автомобилей ""Элит ХаРехев""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Элит ХаРехев""
				ул. Маале Камон 43, Кармиэль								Тел. 04-8734734, 052-3200383				Факс. 04-8734734Elit777@walla.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Набиа Тивух Вэрехев""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Набиа Тивух Вэрехев""
				Ярка				(Не доезжая до т.ц. ""Кенан"")				Тел. 050-5694419",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Рехев Айя вэАдам""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Рехев Айя вэАдам""
				Ярка				(рядом с т.ц. ""Амш Стар"")				Тел. 050-5610598, 050-4610598",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Рехев Асентер""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Рехев Асентер""
				Меилия				(напротив т.ц. ""Аси Центер"")				Тел. 050-4884499, 050-9220222				Факс. 04-9571636",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""А.А. Ото Кредит""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""А.А. Ото Кредит""
				Ярка				(на въезде)				Тел. 057-999611, 057-6999610, 057-7725563				Факс. 04-9968420",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Рехев ХаГалиль""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Рехев ХаГалиль""
				Ярка				(на кольце, перед поворотом на т.ц. ""Амш Стар"")				Тел. 050-5507427				Факс. 04-9968819",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
mailto:alnasr.ltd@gmail.com,alnasr.ltd@gmail.com,"Продажа автомобилей ""Альнаср""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Альнаср""
				Кфар-Ясиф				(при въезде со стороны Кабри, по правой стороне)				Тел. 04-9967914, 04-9964480				Факс. 04-9996936alnasr.ltd@gmail.comhttp://www.alnasr.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
mailto:asidcar@walla.com,asidcar@walla.com,"Продажа автомобилей ""Рехев Аси""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Рехев Аси""
				Ярка				(не доезжая до ""Теста"", по левой стороне)				Тел. 050-5743258asidcar@walla.com",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Рехев Амир""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Рехев Амир""
				Ярка				(первое кольцо)				Тел. 04-9961889, 050-7629343/1				Факс. 04-9961889",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Рехев Бисан""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Рехев Бисан""
				Кфар-Ясиф				(при въезде, по правой стороне)				Тел. 04-9566106, 050-7616397, 057-5980401/3, 054-4740957",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
,,"Продажа автомобилей ""Мерказ ХаРехев""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Мерказ ХаРехев""
				Ярка				(налево на кольце ""Мерказ Амазон"")				Тел. 04-9963265, 050-5276845, 050-7220623",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly/2
